Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
25455,HOSTFZN,25454,6/12.7 OZ,HST ICED LMN CPCK MP FRZN,LP404025,MULTI PACK 6 PK,SBS HST,6
25459,HOSTFZN,25458,6/12.7 OZ,HST CHOC CPCK MP 8CT FRZN,LP404025,MULTI PACK LTO 6 PK,SBS HST,6
25462,HOSTFZN,,48/1 EA,HST CUPCAKE CRAZE SHIPPER,LP404277,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25466,HOSTFZN,25465,9/10.5 OZ,HOSTESS DNTS OLD FSHN FZ,LP403937,BAG DONUT 9PK,SBS HST,9
25470,HOSTFZN,25465,6/10.5 OZ,HOSTESS DNT OLD FSH FZ,LP403937,BAG DONUT 6PK,SBS HST,6
25473,HOSTFZN,25472,6/11.57 OZ,HOSTESS PATRIOTIC CUPCAKE,LP404041,MULTI PACK LTO 6 PK,SBS HST,6
25476,HOSTFZN,25475,6/10.86 OZ,HOSTESS RWB TWINKIES,LP404103,MULTI PACK LTO 6 PK,SBS HST,6
25480,HOSTFZN,,48/1 EA,HOSTESS RWB CAKE SHIPPER,LP404280,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25489,HOSTFZN,25488,6/10 OZ,HOSTESS CHOC BABY BNDT FZ,LP404057,MULTI PACK 6 PK,SBS HST,6
25515,HOSTFZN,25514,6/11.57 OZ,HOSTESS ICD PMPKN CPCK MP,LP404045,MULTI PACK LTO 6 PK,SBS HST,6
25521,HOSTFZN,,48/1 EA,HOSTESS FALL CAKE SHPR FZ,LP404284,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25533,HOSTFZN,,40/1 EA,HOSTESS BOUNCERS SS DS FZ,,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,40
25539,HOSTFZN,25538,6/20.25 OZ,HOSTESS COFFEE CAKES FRZN,LP404175,MULTI PACK 14CT 6PK,SBS HST,6
25552,HOSTFZN,25439,6/11.57 OZ,HST VANILLA CPCK MP 8CT,LP404042,MULTI PACK LTO 6 PK,SBS HST,6
25557,HOSTFZN,25556,6/11.57 OZ,HOSTESS HOLIDAY CUPCAKES,LP404037,MULTI PACK LTO 6 PK,SBS HST,6
25560,HOSTFZN,25559,6/10 OZ,HOSTESS HLDY CHC BBY BNDT,LP403960,MULTI PACK LTO 6 PK,SBS HST,6
25572,HOSTFZN,,48/1 EA,HOSTESS HLDY CAKE SHIPPER,LP404470,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25577,HOSTFZN,25070,6/17.5 OZ,LEMON BABY BUNDTS FRZN,,MULTI PACK 14CT 6PK,SBS HST,6
25595,HOSTFZN,25519,9/9.5 OZ,HOSTESS MAPLE GLAZED DNTS,LP403945,BAG DONUT 9PK,SBS HST,9
25621,HOSTFZN,25427,8/6/2.75 OZ,HOSTESS KAZBAR CHOC SS,LP404351,HST PREMIUM SS 8CT 6PK,SBS HST,48
